suite_id,market,source,provider,file_name,raw_score,calibrated_score,revised_score,score_basis,delta,grade,main_gap,what_is_good,remaining_gap,recommended_fix
BR-B,BR,AI Rudder,PO_DC_BR_PR_Jeni_SHEIN_DM2_B,1d90c46116244eee8e485d0016b99dc9.wav,6.8,7.1,7.1,AI Rudder recalibrated,0.3,Strong,Conversation flow,"Clear pronunciation and professional, warm tone appropriate for a marketplace partnership pitch.","The synthesized store name 'Gfeson Nunes Goiás' sounds like a flat, robotic text-to-speech insertion with unnatural pitch jumps.","Tune the VAD threshold to reduce false-positive barge-ins and implement intelligent interruption handling so that if the customer speaks during a non-critical agent turn, the agent immediately stops talking and hands back the floor."
BR-C,BR,AI Rudder,M1_L2_BR_PT_Gil_DIDI_M25_S1,e456a69ddda54dd8a9ecbf145ee1080e.wav,5.2,6.1,6.1,AI Rudder recalibrated,0.9,Good / usable,Latency,Clear pronunciation and appropriate professional tone for a collections scenario.,"The long monologue warning about interest rates sounds highly synthetic and rushed, lacking natural breathing pauses.",Optimize VAD turn-detection thresholds to immediately halt agent playback (barge-in) within 200ms of customer speech detection.
BR-D,BR,AI Rudder,CL_BR_PT_mat_CredSystem,808bbab1cf1040368c5055f56cc86a56.wav,5.6,6.2,6.2,AI Rudder recalibrated,0.6,Good / usable,Interrupt / Exception Handling,The voice persona 'Eva' sounds professional and appropriate for a financial collection scenario.,"Noticeable TTS stitching glitches and immediate word repetitions (e.g., 'E monitorada' at 0:44 and 'Reais' at 1:28).",Optimize VAD thresholding to ignore breathing/line noise and implement an intelligent interruption recovery mechanism to prevent false-trigger loops.
BR-E,BR,Competitors,https://newup.tech/en,BR-E_1_https_newup.tech_en.mpeg,5.6,6.2,5.5,Competitor raw,-0.1,Usable with fixes,Latency,"Clear pronunciation and professional, polite tone appropriate for a financial collection scenario.",Gender agreement error: The female persona 'Laura' refers to herself using a masculine adjective ('preocupado' instead of 'preocupada').,"Optimize VAD (Voice Activity Detection) sensitivity to instantly mute agent playback the moment the customer speaks, preventing audio collisions."
ID-B,ID,AI Rudder,M0_L2_ID_BA_Fin_Kuainiu_DM2_DPD1,70bd84b859c74eb59647504826fe158b.wav,5.5,6.1,6.1,AI Rudder recalibrated,0.6,Good / usable,Conversation flow,Clear pronunciation of Indonesian words.,Rushed delivery in the final monologue without natural breathing pauses.,Integrate intelligent interruption via turn detection and use short barge-in tokens to hand back the floor gracefully.
ID-C,ID,AI Rudder,OB_CL_BA_ID_INDIHOME_PraNPCCT0_Qwen,aead7856624f4b5cbb64e34230f4aaa5.wav,6.2,6.6,6.6,AI Rudder recalibrated,0.4,Good / usable,Conversation flow,Clear pronunciation and professional Indonesian accent.,Slightly synthetic cadence during long explanations of billing details.,Fix the TTS/VAD pipeline to prevent double-triggering or overlapping agent speech streams on the same channel.
ID-D,ID,Competitors,竞品Dyna,ID-D_1_竞品LLM-Dyna.wav,4.5,5.2,4.4,Competitor raw,-0.1,Limited,Interrupt / Exception Handling,Clear pronunciation of Indonesian words.,Hallucinated/unnatural word repetitions like 'jam 2 jam' and 'kenapa? kenapa?'.,"Implement intelligent interruption via turn detection (end-of-speech probability) and use short barge-in tokens to hand back the floor ('Maaf, silakan Pak')."
ID-D,ID,Competitors,竞品Dyna,ID-D_2_竞品LLM-Dyna.wav,4.5,5.2,4.3,Competitor raw,-0.2,Limited,Latency,Clear pronunciation of Indonesian words and formal terms.,"Slightly flat, synthetic cadence during longer explanations.","Enable intelligent interruption via turn detection. If the customer interrupts or says 'Halo' during a delay, immediately stop the scheduled TTS playback and respond with a short barge-in token like 'Iya Ibu, saya masih di sini' before continuing."
ID-D,ID,Competitors,竞品Dyna,ID-D_3_竞品LLM-Dyna.wav,6.2,6.8,6.2,Competitor raw,0.0,Good / usable,Interrupt / Exception Handling,"Clear, professional female voice persona ('Andina') that fits the debt collection scenario.","The voice sounds slightly rushed and segmented, especially when breaking sentences into multiple small turns (e.g., separating the overdue notice from the payment request).",Deploy intelligent interruption handling using turn detection (end-of-speech probability) to immediately silence the agent's TTS stream when the customer speaks.
MX-B,MX,AI Rudder,M1_L2_MX_ES_Jsu_Stori_DM2_v2,49e24746b71449bfbe2421e6789a8b2b.wav,6.3,6.6,6.6,AI Rudder recalibrated,0.3,Good / usable,Latency,"Clear, professional Mexican Spanish pronunciation.","Slightly robotic, flat cadence when reading long numbers and currency amounts.","Enable immediate playback interruption (barge-in) when customer speech is detected for more than 300ms, allowing the agent to yield the floor naturally."
MX-C,MX,AI Rudder,M1_L2_MX_ES_Jess_Bankaya_UberProCard_CL,910c30c0c299424b8878e6b373604f30.wav,5.4,6.1,6.1,AI Rudder recalibrated,0.7,Good / usable,Conversation flow,Clear pronunciation and professional tone suitable for a collections scenario.,Mispronounces the customer's name 'Hugo' as 'Jugo' multiple times.,Improve intelligent interruption handling by utilizing real-time VAD turn-detection (end-of-speech probability) to instantly cut the bot's audio stream when the customer speaks.
MX-D,MX,Competitors,竞品Jekka.ai,MX-D_1_竞品LLM-Jekka.ai.wav,5.2,6.1,5.4,Competitor raw,0.2,Usable with fixes,Opening,"The voice has a polite, professional tone suitable for customer service.","Slightly flat, synthetic texture during longer explanations.",Optimize intelligent interruption via turn detection (end-of-speech probability) to prevent double-triggering and overlapping phrases.
MY-B,MY,AI Rudder,PO_MY_MS_EN_Far_AeonCredit_PF_DM2,ed00bb77fc7045be93c3d70a66e94be2.wav,2.6,6.1,6.1,AI Rudder recalibrated,3.5,Good / usable,Latency,"The Malay opening is clear enough for a promotion call, the product offer is explained, and the customer appears to engage with the offer flow.",The lowest-confidence evidence depends heavily on STT diarization and language-detection artifacts. The transcript marks multiple turns as agent self-answers even though the expected language is ms-MY and Deepgram detected id.,Re-run this file with Malay-biased STT or human transcript review before using it for leadership ranking.
MY-C,MY,AI Rudder,MY_EN_MS_CL_UOB_Far,8f0a5462c45a4740b2afc59a7df19e4a.wav,5.1,6.1,6.1,AI Rudder recalibrated,1.0,Good / usable,Opening,"Clear pronunciation of Malay terms and polite, professional tone suitable for a collection scenario.","Slightly monotonous delivery during longer explanations, lacking natural breathing pauses.",Use intelligent interruption via turn detection (end-of-speech probability) to prevent premature barge-ins.
MY-D,MY,Competitors,竞品Revocall（双语）,MY-D_1_竞品LLM-Revocall(双语).m4a,5.6,6.4,5.7,Competitor raw,0.1,Usable with fixes,Interrupt / Exception Handling,"The agent's voice persona (Daniel) is clear, professional, and fits the customer support scenario well.","Slightly flat, synthetic cadence during longer explanations, lacking natural micro-pauses or breathing sounds.",Optimize the VAD engine's end-of-speech probability threshold to instantly stop the agent's TTS playback when customer speech is detected.
MY-D,MY,Competitors,竞品Revocall（双语）,MY-D_2_竞品LLM-Revocall(双语).m4a,2.5,3.7,2.5,Competitor raw,0.0,Weak,Interrupt / Exception Handling,Uses a localized mix of Malay and English (Manglish) which fits the Malaysian market profile.,"Low STT confidence scores (0.62 - 0.69) and highly garbled phonetic transcriptions suggest the TTS engine has poor clarity, unnatural blending, or robotic artifacts.",Deploy intelligent interruption handling using real-time VAD (Voice Activity Detection) with end-of-speech probability to immediately silence the bot when the customer speaks.
MY-E,MY,Competitors,竞品Seavoice（双语）,MY-E_1_竞品LLM-Seavoice(双语).mp3,6.3,6.7,6.2,Competitor raw,-0.1,Good / usable,Latency,"Clear, professional English pronunciation suitable for a telecom representative.","Slightly synthetic, repetitive intonation when listing multiple drama titles.","Improve intelligent interruption detection by utilizing real-time VAD with end-of-speech probability, stopping the agent's audio stream within 300ms of customer barge-in."
Multi-Language-B,Multi-Language,AI Rudder,M1_L2_SG_EN_Far_UOB_Demo_Flash,3ac8118ac7154807a70ffaa6f3845d25.wav,7.0,7.4,7.4,AI Rudder recalibrated,0.4,Strong,Latency,Clear pronunciation in both English and Mandarin.,"Slightly flat, synthetic cadence during long English sentences.","Enable active backchanneling: if the customer speaks for more than 5 seconds, inject a soft 'Mm-hmm' or '好的' at natural clause boundaries to signal active listening."
Multi-Language-C,Multi-Language,AI Rudder,M1_L2_SG_EN_Far_UOB_Demo_Flash,d4d3f887342b49ffbcce5293407187fe.wav,4.2,5.5,5.5,AI Rudder recalibrated,1.3,Usable with fixes,Interrupt / Exception Handling,Clear pronunciation and smooth transition between English and Malay languages.,Robotic phrasing and unnatural pauses around key entities like names and dates.,"Deploy intelligent interruption via turn detection (end-of-speech probability) and use short barge-in tokens like 'yes?' or 'sorry, go ahead' to hand back the floor immediately when the customer speaks."
Multi-Language-D,Multi-Language,Competitors,竞品EIS,Multi-Language-D_1_竞品LLM-EIS.mp3,7.2,7.5,7.2,Competitor raw,0.0,Strong,Interrupt / Exception Handling,Clear pronunciation and professional tone suitable for a hotel reservation scenario.,"Slightly flat, synthetic intonation when listing room details and prices.",Implement intelligent interruption via turn detection (end-of-speech probability) to instantly cut off the agent's audio stream within 200ms of detecting customer speech.
PH-B,PH,AI Rudder,M1_L2_PH_PH_The_360_DM2_High,60e150657b62473bb37ef674f4b23e2a.wav,2.8,4.4,4.4,AI Rudder recalibrated,1.6,Limited,Conversation flow,"The voice has a clear, localized accent suitable for the Philippine market (PH).",Highly fragmented speech delivery with unnatural pauses between words.,Integrate intelligent interruption via turn detection (end-of-speech probability) and use short barge-in tokens like 'Yes?' or 'Go ahead' to hand back the floor.
PH-C,PH,AI Rudder,M1_L2_PH_PH_360Kredi_Female,2169614a155e4f7eb5ebf038a9f77614.wav,2.4,4.2,4.2,AI Rudder recalibrated,1.8,Limited,Opening,The voice persona is female and attempts a localized Philippine English pronunciation for terms like 'pesos' and 'Cashify'.,"Highly fragmented speech delivery with unnatural pauses between words, making the agent sound like a broken text-to-speech engine rather than a human speaker.","Implement intelligent interruption via turn detection (end-of-speech probability) and use short barge-in tokens ('Yes?', 'Go ahead') to hand back the floor immediately."
